89.8911 15.3009
87.9310 15.2149
85.4265 15.2149
83.0309 15.2149
80.8530 15.2149
78.4574 15.2149
76.1706 15.2149
73.5572 15.1289
71.1615 15.1289
68.5481 15.0430
66.0436 14.9570
63.4301 14.9570
61.0345 14.8711
59.5100 14.8711
57.8766 14.6132
56.0254 14.5272
54.2831 14.3553
52.2142 14.1834
50.4719 14.0115
49.1652 13.9255
47.6407 13.7536
46.1162 13.7536
44.7005 13.5817
43.3938 13.5817
41.5426 13.4097
40.3448 13.4097
38.6025 13.2378
37.2958 13.0659
35.8802 12.8940
34.6824 12.8080
33.3757 12.7221
32.1779 12.6361
30.8711 12.5501
29.6733 12.5501
28.4755 12.5501
27.2777 12.5501
25.9710 12.5501
25.0998 12.5501
24.0109 12.4642
22.7042 12.5501
21.2886 12.5501
20.4174 12.5501
19.1107 12.5501
18.0218 12.5501
16.7151 12.5501
15.8439 12.4642
14.6461 12.5501
13.4483 12.7221
12.1416 12.8080
11.0526 12.8940
10.3993 12.8940
